Account: ID;Rate Plan Charge: ID;Invoice Item: Charge Amount;Invoice Item: Processing Type;Invoice Item: Service Start Date;Invoice Item: Service End Date;Invoice Item: Charge Date;Invoice Item: ID;Subscription: SubscriptionId;Invoice Item: AppliedToInvoiceItemId;Invoice Item: Quantity;Invoice Item: UOM;Invoice Item: ChargeType;SubscriptionNumber;Rate Plan Charge: Charge Number
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2153fd3;50;Charge;31/01/2019;27/02/2019;11/11/2018 01:01;04e66e1d397543bd8b051ada95d2a3e5;2c92c0f965f2121e0165f6cbb1e33fcb;;1;;Recurring;A-S00017408;C-00055870
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2153fd3;50;Charge;28/02/2019;30/03/2019;11/11/2018 01:01;75428f687139456cb04f95b1faa9bac9;2c92c0f965f2121e0165f6cbb1e33fcb;;1;;Recurring;A-S00017408;C-00055870
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2153fd3;50;Charge;31/03/2019;29/04/2019;11/11/2018 01:01;bedbd226424c40fb869ed6c7a0ff5f43;2c92c0f965f2121e0165f6cbb1e33fcb;;1;;Recurring;A-S00017408;C-00055870
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2153fd3;50;Charge;30/04/2019;30/05/2019;11/11/2018 01:01;c43c171c62634e92ba2dedcce34ea8e6;2c92c0f965f2121e0165f6cbb1e33fcb;;1;;Recurring;A-S00017408;C-00055870
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-13.07;Discount;04/10/2018;30/10/2018;11/11/2018 01:01;d7dec3ac973b46c695334803c73c30de;2c92c0f965f2121e0165f6cbb1e33fcb;ba34244f99ed4e00bfeb4ed2fe4e95e1;1;;Recurring;A-S00017408;C-00055871
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-15;Discount;31/10/2018;29/11/2018;11/11/2018 01:01;83f30f12efdf4263941c169036f893a0;2c92c0f965f2121e0165f6cbb1e33fcb;6ab562907615482289af155250afa9b1;1;;Recurring;A-S00017408;C-00055871
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-15;Discount;30/11/2018;30/12/2018;11/11/2018 01:01;dc4abe6b768045e7a87b980bdb2306d3;2c92c0f965f2121e0165f6cbb1e33fcb;6ac16c9c520e422596f48f0ddf28ffe9;1;;Recurring;A-S00017408;C-00055871
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-15;Discount;31/12/2018;30/01/2019;11/11/2018 01:01;15e655c169db480bbd4955d75592da28;2c92c0f965f2121e0165f6cbb1e33fcb;ffe454c5edc647e2849aa855571f11db;1;;Recurring;A-S00017408;C-00055871
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-15;Discount;31/01/2019;27/02/2019;11/11/2018 01:01;bc8b5bd8aa1145bf80ef6a741da4942a;2c92c0f965f2121e0165f6cbb1e33fcb;04e66e1d397543bd8b051ada95d2a3e5;1;;Recurring;A-S00017408;C-00055871
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-15;Discount;28/02/2019;30/03/2019;11/11/2018 01:01;7e5263c2ec0945c083aedc885ac4b2f4;2c92c0f965f2121e0165f6cbb1e33fcb;75428f687139456cb04f95b1faa9bac9;1;;Recurring;A-S00017408;C-00055871
