Account: ID,Rate Plan Charge: ID,Invoice Item: Charge Amount,Invoice Item: Processing Type,Invoice Item: Service Start Date,Invoice Item: Service End Date,Invoice Item: Charge Date,Invoice Item: ID,Subscription: SubscriptionId,Invoice Item: AppliedToInvoiceItemId,Invoice Item: Quantity,Invoice Item: UOM,Invoice Item: ChargeType,Subscription: Subscription Number,Rate Plan Charge: Charge Number
2c92c0f863f7f04801641c85fc741004,2c92c0f8644618e3016469cfeb9259c5,125,Charge,05/07/2018,05/07/2018,15/11/2018 23:20:00,20ac3b62addf4eed81e6be2c61ad077f,2c92c0f8644618e3016469cfeb2259ba,,1,,OneTime,A-S00017156,C-00055306
2c92c0f863f7f04801641c85fc741004,2c92c0f8647e229401648487a12f5312,115,Charge,10/07/2018,09/07/2019,15/11/2018 23:20:00,6d3b9df2c7f246b48d8b3ace09fea1e7,2c92c0f8647e229401648487a0e7530a,,1,,Recurring,A-S00017178,C-00055357
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/11/2018,13/12/2018,15/11/2018 23:20:00,7ca251995aac4940a787023d36c40416,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/12/2018,13/01/2019,15/11/2018 23:20:00,7a929663e40546e899a8488d80f88482,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/01/2019,13/02/2019,15/11/2018 23:20:00,b63b72d470494d7585aa4d09b29066a5,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/02/2019,13/03/2019,15/11/2018 23:20:00,edb3c412183242ed9f1fb4ce54cf4f15,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/03/2019,13/04/2019,15/11/2018 23:20:00,f10679e699f64d0e8fde60b8cf5e4670,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/04/2019,13/05/2019,15/11/2018 23:20:00,fc9b0b267d9340c38d4059a1660166be,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/07/2018,26/08/2018,15/11/2018 23:20:00,c18b2c4df7de46a88b0e0ca88141a449,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/08/2018,26/09/2018,15/11/2018 23:20:00,165aa592084646b48e2d2d4510759e06,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
