Account: ID,Rate Plan Charge: ID,Invoice Item: Charge Amount,Invoice Item: Processing Type,Invoice Item: Service Start Date,Invoice Item: Service End Date,Invoice Item: Charge Date,Invoice Item: ID,Subscription: SubscriptionId,Invoice Item: AppliedToInvoiceItemId,Invoice Item: Quantity,Invoice Item: UOM,Invoice Item: ChargeType,Subscription: Subscription Number,Rate Plan Charge: Charge Number
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/11/2018,13/12/2018,10/11/2018 21:00:00,5cfd78abe1c84ca3b632bdc76fe9154e,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/12/2018,13/01/2019,10/11/2018 21:00:00,fd1a8ab0c0b04463920232686f433622,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/01/2019,13/02/2019,10/11/2018 21:00:00,123ef9f52afe4267853d6b192d7ce47d,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/02/2019,13/03/2019,10/11/2018 21:00:00,8eef444bb05e4729be0c491a38986be4,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/03/2019,13/04/2019,10/11/2018 21:00:00,13c58daae6df40a5b03c5edf025bbbb5,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f866c89fd60166ca9584cf43ed,191.67,Charge,14/04/2019,13/05/2019,10/11/2018 21:00:00,c11551c310f841b39a55446dbfa4df22,2c92c0f866c89fd60166ca95848343e5,,1,,Recurring,A-S00017546,C-00056139
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/09/2018,26/10/2018,10/11/2018 21:00:00,eb9395efb1414c97b4499e8ea04f1ffb,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/10/2018,26/11/2018,10/11/2018 21:00:00,6e8d4a34463f4e2dadfe09b5bb67ec8a,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/11/2018,26/12/2018,10/11/2018 21:00:00,17c6988d06fa4e9ea67e44ad10a5fda3,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
2c92c0f863f7f04801641c85fc741004,2c92c0f964cff4f60164da1449132341,4.17,Charge,27/12/2018,26/01/2019,10/11/2018 21:00:00,5c424bdf687b4ee59346e4343508b85e,2c92c0f964cff4f60164da1448c5233a,,1,,Recurring,A-S00017225,C-00055458
